Method,Dataset,Task0_Mean,Task0_Std,Task1_Mean,Task1_Std,Task2_Mean,Task2_Std,Task3_Mean,Task3_Std,Task4_Mean,Task4_Std
IGP(Full),beir-ood,0.5656,0.003,0.4132,0.003,0.4585,0.002,0.5522,0.0056,0.876,0.0033
IGP(Full),lotte-ood,0.3433,0.0031,0.4529,0.0043,0.4594,0.0191,0.448,0.0084,0.3787,0.0062
IGP(wo_update_centriods),beir-ood,0.5635,0.0035,0.3592,0.0004,0.3614,0.0028,0.5012,0.0098,0.7937,0.0073
IGP(wo_update_centriods),lotte-ood,0.3449,0.0018,0.3764,0.0073,0.3713,0.0107,0.3798,0.0113,0.2725,0.0118
PLAID(Full),beir-ood,0.5749,0.0021,0.4183,0.0026,0.4805,0.005,0.5532,0.0042,0.9387,0.0006
PLAID(Full),lotte-ood,0.3918,0.0005,0.5323,0.0037,0.5518,0.0055,0.5402,0.0054,0.5236,0.0006
PLAID(wo_update_centriods),beir-ood,0.5745,0.0017,0.3899,0.0056,0.4174,0.0055,0.5207,0.0085,0.82,0.0042
PLAID(wo_update_centriods),lotte-ood,0.3914,0.0011,0.495,0.0032,0.4938,0.002,0.5006,0.0025,0.4204,0.0019
StreamPLAID,beir-ood,0.5731,0.0016,0.4197,0.0029,0.475,0.0021,0.5531,0.0054,0.9201,0.0078
StreamPLAID,lotte-ood,0.3843,0.0006,0.5199,0.0035,0.5331,0.0056,0.5338,0.0087,0.4879,0.0079
